project,last_updated,Barcodes,Geno,Nitrogen,rep,Leaf_no,Photo,Cond,Tleaf,Trans,VpdL,lma_gm2,d13c,d15n,cent_n,cent_c,n_mass_mg_per_g,n_area_gm2,c_mass_mg_per_g,c_area_gm2
cousins_pheno_0,2019/01/17 08:11:28,Fa004AC031763,E04,100,5,4,19.56095974,0.146136256,32.18763828,0.003766047,2.552397552,42.28456229,-16.53,-4.07,3.428,44.085,34.28,1.449514795,440.85,18.64114929
cousins_pheno_0,2019/01/17 08:11:28,Fa004AC031823,E04,100,7,5,31.42647561,0.182294339,31.89277888,0.00443626,2.457213324,39.93541994,-16.2,-5.54,3.626,44.707,36.26,1.448058327,447.07,17.85392819
cousins_pheno_0,2019/01/17 08:11:28,Fa004AB031373,E04,50,1,5,20.23598039,0.121961538,32.01059178,0.003023422,2.452147135,30.53885054,-15.56,-0.28,2.52090979,39.44807133,25.2090979,0.769856873,394.4807133,12.04698754
cousins_pheno_0,2019/01/17 08:11:28,Fa004AB031403,E04,50,2,4,23.01317925,0.130906838,32.04987971,0.003313031,2.501202828,25.84056584,-15.12,-0.8,2.25,43.627,22.5,0.581412731,436.27,11.27346366
cousins_pheno_0,2019/01/17 08:11:28,Fa004AB031463,E04,50,4,4,21.83174817,0.135763168,32.0779953,0.003272084,2.373071587,26.26768264,-15.44,-1.27,2.140621951,47.34015854,21.40621951,0.562291781,473.4015854,12.43516261
cousins_pheno_0,2019/01/17 08:11:28,Fa004AB031613,E04,50,9,4,19.23340241,0.155778507,31.97470713,0.003554693,2.264589695,38.22695278,-15.24,-1.68,2.409,43.932,24.09,0.920887292,439.32,16.7938649
cousins_pheno_0,2019/01/17 08:11:28,Fa005AA031194,E05,10,1,5,17.30680867,0.10176814,32.04909134,0.002733697,2.652150049,23.0643067,-14.91,-1.85,2.582,46.277,25.82,0.595520399,462.77,10.67346921
cousins_pheno_0,2019/01/17 08:11:28,Fa005AA031254,E05,10,3,4,15.75763437,0.080474447,31.97954941,0.001974124,2.377369567,22.85074831,-15.89,-0.34,1.992471963,45.69238318,19.92471963,0.455294753,456.9238318,10.44105148
cousins_pheno_0,2019/01/17 08:11:28,Fa005AA031344,E05,10,6,5,12.06392802,0.063670371,32.12027073,0.001618764,2.464029285,26.69479943,-15.92,-1.98,2.674,46.881,26.74,0.713818937,468.81,12.51478892
cousins_pheno_0,2019/01/17 08:11:28,Fa005AC031674,E05,100,2,6,23.95649398,0.126692709,32.05594826,0.002736476,2.14807155,26.26768264,-16.1,-4.44,4.188,47.322,41.88,1.100090549,473.22,12.43039278
cousins_pheno_0,2019/01/17 08:11:28,Fa005AC031704,E05,100,3,4,22.72662742,0.1271755,31.2545929,0.003162654,2.454073195,14.30841249,-15.92,-3.75,4.275850746,57.2308209,42.75850746,0.611806362,572.308209,8.188821926
